genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,Alexander 23,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,85,0.884,0.629,184638,0.306,0.0776,C#,0.124,-11.735,Major,0.0424,76.994,1/4,0.191
Pop,Lil Darkie,HAHA,18Gcl5bxdd8bpBhWOj1rCR,68,0.34,0.7140000000000001,160000,0.82,0.0,C#,0.0801,-1.102,Major,0.444,78.032,4/4,0.904
Pop,"Emilee, Surf Mesa",ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,95,0.0686,0.674,176547,0.774,0.0018800000000000002,B,0.39299999999999996,-7.567,Minor,0.0892,112.05,4/4,0.33
Pop,Juanfran,Como Llora,52zq2a71SGs3f1vJuv59ui,81,0.183,0.8270000000000001,187500,0.629,0.0,F#,0.084,-3.966,Minor,0.185,88.064,4/4,0.486
Pop,"Ariana Grande, Lady Gaga",Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,88,0.021,0.672,182200,0.855,0.0,A,0.32299999999999995,-3.764,Major,0.0397,123.056,4/4,0.6459999999999999
Pop,Daði Freyr,Think About Things,2iRniYXjMHKmwXqA2jYXP7,76,0.0311,0.871,173386,0.341,0.000124,D#,0.0838,-8.932,Minor,0.0576,127.001,4/4,0.612
Pop,"Fousheé, Sleepy Hallow",Deep End Freestyle,2AlYncTpVHKwHb55F9lF6O,67,0.703,0.868,115200,0.479,0.0,E,0.102,-6.687,Minor,0.445,133.928,4/4,0.7759999999999999
Pop,"Roddy Ricch, DaBaby",ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,99,0.247,0.746,181733,0.69,0.0,B,0.10099999999999999,-7.956,Major,0.16399999999999998,89.977,4/4,0.49700000000000005
Pop,"Sara Fajira, Weird Genius",LATHI (ꦭꦛꦶ),7ksK7gpPDFdY4JLHr1hKfY,79,0.0857,0.58,188900,0.898,0.000254,D#,0.478,-1.9280000000000002,Minor,0.0349,150.018,4/4,0.213
Pop,Honey Jemlan,"I Like You So Much, You'll Know It",4zATlrA9Lf9zHGLvEP47Ei,71,0.588,0.7659999999999999,199993,0.331,0.0,D#,0.0988,-9.797,Major,0.0401,108.08200000000001,4/4,0.57
Pop,Molchat Doma,Судно (Борис Рижий),6DONTnamNDOJdO6DzCu71p,74,0.6990000000000001,0.484,141395,0.7490000000000001,0.861,C#,0.105,-4.176,Major,0.0687,160.006,4/4,0.46799999999999997
